Consumer,Promotion,Opened Email,Clicked Email Link,Created Account,Paid for Membership
1,Free Month,N,N,N,N
2,10% off,N,N,N,N
3,Free Month,N,N,N,N
4,10% off,N,N,N,N
5,Free Month,N,N,N,N
6,10% off,N,N,N,N
7,Free Month,N,N,N,N
8,10% off,Y,N,N,N
9,Free Month,N,N,N,N
10,10% off,Y,Y,Y,Y
11,Free Month,N,N,N,N
12,10% off,N,N,N,N
13,Free Month,Y,Y,N,N
14,10% off,Y,N,N,N
15,Free Month,Y,Y,Y,N
16,10% off,Y,N,N,N
17,Free Month,Y,N,N,N
18,10% off,N,N,N,N
19,Free Month,N,N,N,N
20,10% off,N,N,N,N
21,Free Month,N,N,N,N
22,10% off,Y,Y,Y,Y
23,Free Month,Y,N,N,N
24,10% off,Y,Y,Y,N
25,Free Month,Y,N,N,N
26,10% off,N,N,N,N
27,Free Month,Y,N,N,N
28,10% off,N,N,N,N
29,Free Month,N,N,N,N
30,10% off,N,N,N,N
31,Free Month,N,N,N,N
32,10% off,Y,Y,Y,Y
33,Free Month,N,N,N,N
34,10% off,Y,N,N,N
35,Free Month,N,N,N,N
36,10% off,N,N,N,N
37,Free Month,N,N,N,N
38,10% off,N,N,N,N
39,Free Month,Y,Y,N,N
40,10% off,N,N,N,N
41,Free Month,N,N,N,N
42,10% off,N,N,N,N
43,Free Month,Y,Y,N,N
44,10% off,N,N,N,N
45,Free Month,Y,N,N,N
46,10% off,N,N,N,N
47,Free Month,Y,Y,Y,Y
48,10% off,N,N,N,N
49,Free Month,N,N,N,N
50,10% off,N,N,N,N
51,Free Month,N,N,N,N
52,10% off,N,N,N,N
53,Free Month,N,N,N,N
54,10% off,N,N,N,N
55,Free Month,Y,Y,Y,N
56,10% off,Y,Y,Y,Y
57,Free Month,N,N,N,N
58,10% off,Y,Y,Y,Y
59,Free Month,N,N,N,N
60,10% off,Y,Y,Y,Y
61,Free Month,N,N,N,N
62,10% off,N,N,N,N
63,Free Month,N,N,N,N
64,10% off,N,N,N,N
65,Free Month,Y,Y,Y,Y
66,10% off,N,N,N,N
67,Free Month,N,N,N,N
68,10% off,Y,Y,Y,Y
69,Free Month,N,N,N,N
70,10% off,N,N,N,N
71,Free Month,N,N,N,N
72,10% off,N,N,N,N
73,Free Month,N,N,N,N
74,10% off,Y,N,N,N
75,Free Month,N,N,N,N
76,10% off,N,N,N,N
77,Free Month,N,N,N,N
78,10% off,N,N,N,N
79,Free Month,N,N,N,N
80,10% off,Y,N,N,N
81,Free Month,Y,N,N,N
82,10% off,Y,Y,Y,Y
83,Free Month,Y,N,N,N
84,10% off,N,N,N,N
