"bin","age","income"
"60-69",64,87083.2365102658
"30-39",33,76807.8246349021
"20-29",24,12043.5987664878
"30-39",33,61972.0024324893
"70-79",78,60120.3151924143
"60-69",62,40058.4173703211
"80-",88,38850.7240813705
"50-59",54,65239.0494843263
"50-59",54,51362.9221846237
"30-39",31,36418.2459916542
"20-29",22,34407.0747890021
"70-79",76,42912.8684967195
"60-69",66,32192.9335780667
"10-19",18,55822.4114578126
"20-29",21,35745.5210379194
"40-49",45,48316.4372899455
"10-19",19,27790.5077939999
"30-39",34,60214.6464570275
"30-39",30,88850.3409579721
"30-39",31,116187.315199197
"20-29",21,36736.1227520925
"40-49",40,79348.2633849145
"40-49",42,48485.6604006536
"30-39",33,75069.7951517439
"20-29",22,36153.3660387438
"20-29",21,25810.5255133648
"30-39",31,80624.557495274
"40-49",48,83549.290107777
"30-39",34,87458.5003611642
"60-69",61,40267.325427135
"20-29",21,43392.6229672516
"40-49",48,109549.637403702
"10-19",19,34174.5320145309
"20-29",28,56011.9093101283
"50-59",55,66215.1526494849
"20-29",22,24957.9115271331
"20-29",28,82813.0598112186
"60-69",60,57361.0323807753
"30-39",32,59813.1796301604
"20-29",28,90768.4990001132
"30-39",37,109945.684391048
"30-39",34,91373.4675369356
"40-49",41,97861.4301632041
"40-49",48,60611.9850187247
"50-59",57,54574.1440994495
"20-29",26,93147.0466092005
"40-49",42,97903.8785917693
"30-39",37,97615.0539015689
"30-39",37,68211.662220833
"50-59",59,62368.9657693467
"30-39",39,73796.0788926808
"20-29",24,43738.1544054375
"30-39",39,99122.795172951
"40-49",46,77634.0862606732
"20-29",24,27704.4481462903
"40-49",45,68773.5668191772
"80-",87,58509.3182352294
"60-69",64,59362.1100166933
"60-69",62,80078.2246509809
"20-29",24,60028.4483115857
"20-29",26,110951.670891574
"30-39",35,109152.531916246
"30-39",30,57110.2126343703
"20-29",21,28156.7758185513
"10-19",19,50924.3428701537
"20-29",27,109302.329989397
"40-49",40,64074.863459393
"40-49",46,67198.3048197658
"50-59",50,58798.4743697343
"30-39",32,108124.212773081
"40-49",44,64011.559502401
"70-79",72,48060.0778540946
"40-49",45,75398.9190543294
"60-69",66,37866.6080983162
"60-69",64,81647.6623233504
"50-59",57,49641.1649696128
"40-49",45,77524.0374125474
"20-29",28,53172.2071624591
"70-79",71,41314.7270000696
"30-39",38,83409.6985970315
"20-29",27,108598.518181212
"70-79",79,61184.8504292667
"20-29",21,24815.3400491228
"50-59",52,72419.7572454097
"70-79",76,40332.0727037536
"50-59",56,51691.0347465262
"40-49",49,26619.4573273312
"30-39",39,50834.6770763487
"30-39",34,82198.6115769144
"30-39",33,61400.2894683064
"30-39",38,104140.047780934
"80-",85,44221.8523103083
"20-29",26,64280.3251638365
"20-29",26,48793.240649907
"20-29",29,72285.1752013227
"50-59",53,74958.2180150759
"60-69",61,40704.9532801329
"50-59",53,29329.8363464868
"10-19",19,20907.6295726945
"80-",83,26734.3047302115
"40-49",46,45972.9146793918
"30-39",36,53243.6948889665
"40-49",41,88685.7955683326
"20-29",26,74355.5194668471
"20-29",20,25294.8261837486
"60-69",65,58871.6418552874
"30-39",35,115957.593033816
"30-39",37,64743.3447953469
"20-29",23,30595.5915751626
"30-39",32,80561.7719121088
"60-69",64,96856.8602337808
"40-49",40,71022.8148954331
"30-39",37,46219.2343356578
"30-39",39,90082.2800017243
"20-29",28,73994.8442433176
"30-39",32,80243.6385784513
"50-59",56,54756.7206169896
"30-39",31,115530.300488572
"40-49",47,41898.8780719707
"30-39",38,87741.0349451933
"40-49",47,72636.9818998063
"30-39",37,84425.1334856989
"30-39",36,64848.4962805798
"30-39",34,72293.9662170863
"50-59",54,66033.417561265
"30-39",33,69204.2032994682
"40-49",47,77449.5423899579
"30-39",36,112396.119105391
"50-59",53,90915.4010007645
"20-29",23,14456.5149884025
"60-69",64,43508.4245039912
"50-59",59,58943.5992835528
"30-39",30,58416.5735778022
"50-59",51,82340.0129726118
"60-69",66,51038.1323879101
"50-59",51,105198.055948189
"30-39",31,65492.4681899493
"30-39",32,71322.0793444031
"50-59",59,82292.3734296447
"40-49",47,84760.9346976887
"30-39",34,53068.4635273615
"50-59",53,45072.6458532367
"60-69",67,35890.5120461814
"60-69",62,81394.8139674621
"30-39",37,59226.2908150207
"30-39",33,32736.0981713751
"80-",87,32436.3434546025
"50-59",56,79680.9486730983
"70-79",76,40351.3326641801
"40-49",42,81759.2762094354
"40-49",44,84803.1339904058
"20-29",27,63907.4403047572
"50-59",53,44385.5734298598
"30-39",36,90231.0269049514
"70-79",73,67931.061871399
"50-59",55,47396.1971327357
"40-49",46,86099.9709202705
"40-49",47,58270.5267723473
"60-69",61,92066.4327050781
"30-39",37,47215.4293384976
